Ref ID,Development Status (short),Installed Capacity (MWelec),Operational,lon,lat,area (sqm)
1774,Operational,4.9,2015-08-21,-4.861,51.823,154000
1775,Operational,20.0,2014-05-30,0.876,50.992,463000
1776,Operational,5.0,2014-03-31,-4.217,50.442,93411
1777,Operational,26.0,2016-03-11,0.771,52.862,552200
1781,Operational,6.9,2015-03-26,-4.029,51.787,210000
1783,Operational,30.0,2016-03-18,0.197,52.712,673200
1784,Operational,5.0,2017-03-21,-1.871,51.542,107500
1785,Operational,3.8,2015-03-30,-0.624,50.806,81000
1787,Operational,1.7,2016-03-30,-3.696,51.495,45000
1788,Operational,3.5,2014-09-30,-0.52,52.302,65303
1789,Operational,6.5,2017-03-15,-6.167,54.609,121519
1802,Revised,10.0,,-3.255,51.396,165000
1804,Operational,1.0,2016-04-15,-1.776,52.684,21000
1805,Revised,4.0,,-0.929,51.276,98000
1806,Operational,1.0,2016-04-04,-1.765,52.684,29900
1811,Operational,5.0,2017-03-31,-1.116,52.74,105000
1812,Revised,3.0,,-4.095,50.968,55934
1813,Operational,5.0,2014-07-03,-4.663,50.43,93411
1815,Operational,5.0,2016-03-21,-4.846,50.394,108000
1816,Operational,6.6,2014-03-30,0.712,51.227,145800
1817,Operational,10.0,2014-06-19,-1.361,51.633,226300
1818,Operational,5.1,2015-01-12,-0.927,53.223,88000
1820,Operational,6.0,2014-03-31,0.544,52.543,135200
1823,Operational,7.5,2014-03-04,-3.327,51.419,191100
1824,Operational,8.3,2015-03-17,-4.876,50.351,155249
1826,Operational,11.4,2016-03-25,0.202,53.143,307800
1827,Operational,8.0,2015-02-26,-4.524,52.108,168000
1828,Operational,7.3,2014-07-29,-4.138,51.146,136510
1830,Revised,9.6,,-0.047,51.907,133000
1832,Operational,29.0,2015-03-16,-1.4,51.605,620000
1833,Revised,30.0,,-1.402,51.651,589000
1834,Operational,5.0,2015-03-02,-1.881,51.52,117000
1835,Operational,38.1,2015-03-31,0.27,52.185,631400
1836,Operational,8.7,2015-03-01,-2.757,51.067,182100
1838,Operational,5.0,2016-01-15,-1.496,54.175,93411
1840,Operational,5.0,2016-03-24,-1.612,51.199,110000
1842,Operational,5.0,2015-09-28,-0.648,51.85,172000
1843,Operational,4.9,2015-07-15,-1.05,52.918,122000
1846,Operational,6.5,2015-03-31,-3.75,50.505,135600
1848,Operational,4.0,2015-12-15,-1.274,51.25,74672
1850,Operational,10.5,2016-03-18,-1.791,51.524,166300
1862,Operational,2.0,2016-12-19,-3.498,51.422,53563
1864,Operational,5.5,2016-02-15,-4.174,51.154,102780
1865,Operational,6.8,2015-03-14,-0.077,52.356,112900
1872,Operational,9.5,2015-06-01,-4.379,50.402,177735
1873,Revised,49.0,,-1.53,51.108,776000
1874,Operational,8.3,2014-12-02,-2.228,50.838,155249
1875,Operational,13.1,2014-11-01,-0.029,52.119,333000
1876,Operational,4.0,2014-03-31,-1.861,52.07,74672
1878,Operational,5.0,2014-09-25,-0.757,52.147,110000
1882,Revised,19.0,,-2.544,56.748,355752
1884,Operational,1.2,2017-07-27,-4.087,50.811,27185
1885,Operational,5.0,2016-03-23,-1.259,52.64,97000
1886,Operational,8.0,2014-12-19,-2.791,51.359,149627
1887,Revised,12.0,,0.441,50.889,240000
1889,Operational,8.6,2016-02-26,1.587,52.439,160870
1890,Operational,3.3,2014-07-28,-1.92,52.102,61555
1892,Operational,5.3,2016-01-01,-2.603,53.387,99033
1893,Operational,2.8,2016-06-01,0.944,52.049,52186
1894,Operational,4.8,2016-01-30,1.039,52.154,89663
1895,Operational,7.4,2014-05-12,-3.389,51.454,138384
1896,Operational,4.8,2015-10-09,-4.899,50.356,89663
1897,Operational,7.0,2015-03-31,-5.121,50.29,130888
1898,Operational,6.7,2016-03-23,-2.596,50.888,191800
1899,Operational,7.0,2014-12-10,-1.466,52.067,150700
1900,Operational,5.0,2016-01-06,-3.765,51.6,93411
1901,Awaiting Construction,3.2,,-1.042,53.129,57800
1902,Operational,5.0,2014-06-18,-2.223,50.689,105000
1903,Operational,3.6,2015-02-12,-2.792,51.043,67177
1904,Operational,5.0,2014-06-09,-2.318,51.054,161000
1905,Operational,14.3,2015-03-27,0.341,51.187,266000
1906,Operational,14.4,2015-03-31,-0.042,52.07,259000
1907,Operational,2.7,2014-06-27,-1.553,50.74,48500
1908,Operational,7.0,2014-03-01,-1.349,51.633,131000
1909,Operational,7.3,2015-03-20,1.389,52.576,168000
