Ref ID,Development Status (short),Installed Capacity (MWelec),Operational,Turbine Capacity (MW),No. of Turbines,Height of Turbines (m),lon,lat
4588,Revised,35.0,,3.5,10,132.0,-4.856,57.125
4591,Operational,81.7,2021-11-01,4.3,19,145.0,-2.453,55.893
4593,Operational,22.0,2017-01-15,2.0,11,,-4.99,55.001
4595,Operational,228.0,2017-05-19,3.0,76,,-3.696,51.656
4597,Operational,227.7,2018-12-11,3.45,66,135.0,-4.526,57.127
4598,Operational,4.0,2014-12-15,2.0,2,,-1.158,52.35
4599,Operational,14.4,2018-01-23,2.05,7,,-3.313,56.655
4600,Operational,28.7,2016-07-01,2.0,14,,-2.321,55.897
4601,Operational,5.0,2017-03-15,2.5,2,,-2.364,55.935
4603,Revised,88.0,,4.0,22,152.0,-4.082,55.421
4604,Operational,10.0,2015-02-23,2.5,5,,-4.821,50.496
4605,Operational,35.0,2022-01-01,2.5,14,110.0,-5.644,55.568
4611,Revised,22.5,,2.5,9,,-4.419,55.421
4612,Revised,57.8,,3.4,17,,-4.49,55.338
4615,Under Construction,87.6,,,20,180.0,-4.242,55.276
4619,Operational,46.0,2013-10-28,2.3,20,,-5.295,56.339
4620,Operational,16.0,2015-03-26,1.6,10,,-2.94,55.471
4622,Revised,370.0,,3.5,103,,-1.208,60.339
4623,Operational,37.0,2015-06-26,2.05,18,,-2.866,57.366
4624,Operational,9.2,2014-11-28,2.3,4,,-4.271,50.919
4625,Operational,67.7,2015-12-01,2.05,33,,-4.034,58.49
4627,Operational,18.4,2014-12-02,2.3,8,,-2.486,56.969
4628,Operational,67.2,2024-10-01,4.48,15,200.0,-4.036,55.633
4629,Operational,1.5,2015-03-19,0.5,3,,-6.832,57.942
4631,Under Construction,48.0,,4.0,11,200.0,-2.528,55.903
4632,Revised,25.6,,3.2,8,130.0,-3.087,55.169
4633,Operational,48.0,2021-06-01,4.8,10,177.0,-3.173,55.176
4635,Revised,13.8,,2.3,6,,-2.822,56.343
4636,Operational,34.0,2021-03-31,2.3,15,120.0,-3.444,58.431
4637,Operational,4.0,2016-11-24,2.5,2,,-0.104,52.664
4638,Operational,27.5,2016-06-01,2.5,11,,-4.754,54.963
4640,Operational,110.0,2017-09-15,3.43,32,135.0,-4.582,57.219
4642,Operational,12.0,2017-12-15,2.5,6,,-1.497,54.575
4643,Operational,88.4,2019-09-15,3.4,26,,-4.036,55.633
4644,Operational,6.0,2017-09-14,2.0,3,,-3.615,51.643
4645,Operational,25.0,2016-10-28,2.3,11,,-4.779,55.226
4646,Operational,26.7,2019-05-01,2.05,13,112.0,-3.429,58.42
4647,Operational,29.7,2016-06-15,3.3,9,,-0.231,54.048
4648,Operational,32.8,2019-04-24,2.05,16,,-3.938,51.749
4649,Operational,13.8,2015-04-01,2.3,6,,0.687,52.884
4650,Under Construction,27.0,,3.0,9,,-7.45,54.587
4651,Operational,10.0,2015-11-24,2.0,5,,-4.962,50.466
4652,Operational,27.6,2016-12-15,2.0,12,,-6.442,54.984
4653,Operational,13.8,2017-01-04,2.3,6,,-6.979,54.623
4654,Operational,15.0,2017-03-30,2.3,6,,-7.896,54.338
4655,Operational,10.2,2015-03-31,3.4,3,125.0,-2.167,53.7
4656,Operational,24.0,2017-09-14,2.0,12,,-3.621,51.645
4657,Operational,8.2,2016-04-30,2.0,5,,0.691,52.857
4658,Operational,10.3,2016-01-15,2.05,3,125.0,-1.336,53.812
4659,Operational,23.8,2015-12-01,3.4,7,,-2.115,53.67
4660,Operational,7.5,2017-01-15,2.5,3,,-0.114,53.677
4661,Operational,8.2,2014-07-07,2.05,4,,-4.996,51.702
4662,Operational,20.7,2014-07-31,2.3,9,,0.892,51.663
4663,Operational,3.4,2012-09-01,3.4,1,,-1.499,55.129
4664,Operational,69.5,2016-09-30,3.0,23,120.0,-4.36,57.19
4665,Operational,8.0,2014-02-05,2.0,4,,-1.634,53.084
4666,Operational,20.0,2014-01-30,2.0,10,,-0.245,52.059
4667,Operational,57.5,2013-12-01,2.3,25,,-2.486,56.969
4668,Operational,6.0,2008-11-01,2.0,3,,-4.806,55.644
4669,Operational,29.8,2005-12-01,1.75,17,,-4.329,57.805
4670,Operational,23.0,2009-11-30,2.3,10,,-4.238,51.978
4671,Operational,16.7,2006-02-01,2.0,8,,-2.639,57.665
4672,Operational,20.0,2006-04-01,2.0,10,,-0.643,52.361
4673,Operational,22.8,2005-12-01,1.75,13,,-8.093,54.418
4674,Operational,41.4,2010-06-21,2.3,18,,-6.432,57.469
4675,Operational,43.0,2010-06-07,2.15,20,,-4.632,57.533
4676,Operational,92.0,2005-10-01,2.3,40,,-4.103,57.334
4677,Operational,32.0,2005-12-01,2.0,16,,-3.629,51.683
4678,Operational,1.8,2010-06-01,1.75,1,,-3.097,58.841
4679,Operational,5.2,2007-07-01,1.3,4,,-3.688,58.602
4680,Operational,10.5,2006-08-01,1.75,6,,-7.605,54.634
4681,Operational,4.0,2006-05-20,2.0,2,,-2.894,56.484
4682,Operational,40.0,2008-07-15,2.5,16,125.0,-4.884,57.155
4683,Operational,12.3,2011-01-01,2.05,6,,-3.586,55.767
4684,Operational,14.5,2005-12-01,0.85,17,,-3.428,52.578
4685,Operational,4.5,2007-02-01,1.5,3,,-2.303,53.773
